"train/global_step","output-models - _step","output-models - _step__MIN","output-models - _step__MAX","output-models - train/loss","output-models - train/loss__MIN","output-models - train/loss__MAX"
"400","0","0","0","0.1867","0.1867","0.1867"
"1000","4","2","6","0.07515","0.049","0.1013"
"2000","6","4","8","0.06505","0.0472","0.0829"
"3000","10","10","10","0.0692","0.0692","0.0692"
"4000","12","12","12","0.0565","0.0565","0.0565"
"5000","14","14","14","0.028","0.028","0.028"
"6000","16","16","16","0.0285","0.0285","0.0285"
"7000","18","18","18","0.0261","0.0261","0.0261"
"8000","20","20","20","0.0214","0.0214","0.0214"
"9000","22","22","22","0.0162","0.0162","0.0162"
"10000","24","24","24","0.0122","0.0122","0.0122"
"11000","26","26","26","0.0123","0.0123","0.0123"
"12000","28","28","28","0.0112","0.0112","0.0112"
"13000","30","30","30","0.0074","0.0074","0.0074"
"14000","32","32","32","0.0051","0.0051","0.0051"
"15000","34","34","34","0.0062","0.0062","0.0062"
"16000","36","36","36","0.0047","0.0047","0.0047"
"17000","38","38","38","0.0017","0.0017","0.0017"
"18000","40","40","40","0.002","0.002","0.002"
"19000","42","42","42","0.0006","0.0006","0.0006"
"20000","44","44","44","0.0007","0.0007","0.0007"